dropout,hidden_dim,kernel_size,param_count,train_loss,train_score,val_loss,val_score,weight_decay
0,256,3,1909763,0.9266565783500671,0.61003,0.8697735071182251,0.624,0.0001
0,16,3,34883,0.6343126580047608,0.74919,0.7079005942344666,0.695,1e-06
0,64,3,207107,0.6132584673118592,0.7622,0.7706177659034729,0.69,1e-08
0,16,3,34883,1.0998471268844605,0.33187,1.102602346420288,0.338,0.01
0,64,3,207107,0.7339189752197266,0.69674,0.767310272693634,0.686,0.0001
0,64,3,207107,0.6753036496925354,0.7344,0.7630411224365234,0.685,1e-06
0,64,3,207107,0.662970880317688,0.73797,0.7383066158294678,0.695,1e-07
0,256,3,1909763,0.8369229016494751,0.65803,0.8236623659133911,0.634,1e-05
0,8,3,16035,0.6814621702384949,0.72659,0.7517843165397644,0.687,1e-07
0,4,3,7667,0.7344044556617737,0.69657,0.799723853111267,0.652,1e-06
0,32,3,81027,0.6467246876525878,0.74915,0.7479604148864746,0.704,1e-08
0,256,3,1909763,0.8216378533363342,0.64907,0.862616457939148,0.635,1e-07
0,16,3,34883,0.6307465818405151,0.75836,0.7450339035987854,0.697,1e-07
0,8,3,16035,0.7358249653625488,0.68981,0.7797695808410644,0.691,0.0001
0,32,3,81027,0.5971519484901429,0.77392,0.7347496786117553,0.692,1e-06
0,4,3,7667,0.7367292626190186,0.6911,0.7699035038948059,0.664,0.0001
0,4,3,7667,0.7566953906059265,0.68431,0.7984780917167663,0.661,1e-08
0,256,3,1909763,1.0928074214553833,0.42006,1.0881402168273926,0.409,0.01
0,256,3,1909763,1.0991327869415284,0.332,1.0986748781204223,0.338,1e-06
0,128,3,594435,0.794625444355011,0.67282,0.8043414602279663,0.649,0.0001
0,4,3,7667,1.0990923171997071,0.332,1.098593632698059,0.338,0.01
0,64,3,207107,1.1048405671310424,0.332,1.0985784225463868,0.338,0.01
0,256,3,1909763,0.8593245114517212,0.61634,0.8768459477424622,0.617,1e-08
0,128,3,594435,0.7378127646446228,0.70128,0.8010528688430786,0.664,1e-07
0,4,3,7667,0.7370074147605896,0.69024,0.7555373010635376,0.684,1e-05
0,16,3,34883,0.6836478347778321,0.72556,0.700548812866211,0.714,0.0001
0,16,3,34883,0.6412114186859131,0.7515,0.7288644800186157,0.698,1e-08
0,32,3,81027,0.7130486953735351,0.69963,0.7617190742492675,0.675,0.0001
0,128,3,594435,0.698508829536438,0.73101,0.7840717210769653,0.663,1e-06
0,128,3,594435,0.6894386184120178,0.72437,0.731908935546875,0.692,1e-05
0,8,3,16035,0.6809975987815857,0.71918,0.7459448127746582,0.692,1e-06
0,8,3,16035,0.6556049339675903,0.73686,0.7245629982948303,0.7,1e-05
0,4,3,7667,0.7081091645431519,0.71068,0.7830611038208007,0.673,1e-07
0,128,3,594435,1.128884889793396,0.332,1.0995544300079345,0.338,0.01
0,32,3,81027,0.0,0.332,1.1043727264404297,0.338,0.01
0,16,3,34883,0.6202977887153626,0.75537,0.7189837489128112,0.707,1e-05
0,8,3,16035,0.0,0.33234,1.1173859310150147,0.338,0.01
0,128,3,594435,0.7834222385215759,0.67429,0.8246695065498352,0.636,1e-08
0,32,3,81027,0.6316537048721313,0.75853,0.7314669847488403,0.702,1e-07
0,32,3,81027,0.6270979688835144,0.76193,0.6829278650283813,0.724,1e-05
0,8,3,16035,0.6843385169219971,0.72125,0.7798408737182617,0.669,1e-08
0,64,3,207107,0.6747617969322205,0.74283,0.6851522016525269,0.711,1e-05
